country,age,sex,suicides_no
Luxembourg,25-34 years,female,1
Luxembourg,5-14 years,female,0
Luxembourg,5-14 years,male,0
Luxembourg,75+ years,male,5
Luxembourg,55-74 years,male,15
Luxembourg,75+ years,female,5
Luxembourg,35-54 years,male,19
Luxembourg,55-74 years,female,10
Luxembourg,25-34 years,male,8
Luxembourg,25-34 years,female,7
Luxembourg,15-24 years,male,3
Luxembourg,15-24 years,female,1
Luxembourg,35-54 years,female,0
Luxembourg,5-14 years,female,0
Luxembourg,5-14 years,male,0
Luxembourg,55-74 years,male,27
Luxembourg,75+ years,male,6
Luxembourg,25-34 years,male,8
Luxembourg,15-24 years,male,6
Luxembourg,35-54 years,male,16
Luxembourg,55-74 years,female,8
Luxembourg,75+ years,female,3
Luxembourg,35-54 years,female,10
Luxembourg,15-24 years,female,1
Luxembourg,25-34 years,female,0
Luxembourg,5-14 years,female,0
Luxembourg,5-14 years,male,0
Luxembourg,75+ years,male,6
Luxembourg,15-24 years,male,6
Luxembourg,55-74 years,male,8
Luxembourg,35-54 years,male,14
Luxembourg,25-34 years,male,5
Luxembourg,35-54 years,female,4
Luxembourg,55-74 years,female,2
Luxembourg,15-24 years,female,1
Luxembourg,5-14 years,male,1
Luxembourg,25-34 years,female,1
Luxembourg,5-14 years,female,0
Luxembourg,75+ years,female,0
Luxembourg,75+ years,male,6
Luxembourg,25-34 years,male,9
Luxembourg,35-54 years,male,19
Luxembourg,55-74 years,male,7
Luxembourg,75+ years,female,3
Luxembourg,15-24 years,male,4
Luxembourg,55-74 years,female,6
Luxembourg,35-54 years,female,8
Luxembourg,15-24 years,female,0
Luxembourg,25-34 years,female,0
Luxembourg,5-14 years,female,0
Luxembourg,5-14 years,male,0
Luxembourg,75+ years,male,7
Luxembourg,35-54 years,male,16
Luxembourg,15-24 years,male,6
Luxembourg,55-74 years,male,7
Luxembourg,25-34 years,male,3
Luxembourg,35-54 years,female,6
Luxembourg,75+ years,female,1
Luxembourg,55-74 years,female,2
Luxembourg,25-34 years,female,1
Luxembourg,15-24 years,female,0
Luxembourg,5-14 years,female,0
Luxembourg,5-14 years,male,0
Luxembourg,75+ years,male,8
Luxembourg,35-54 years,male,22
Luxembourg,55-74 years,male,10
Luxembourg,35-54 years,female,12
Luxembourg,15-24 years,male,4
Luxembourg,55-74 years,female,4
Luxembourg,25-34 years,male,3
Luxembourg,75+ years,female,1
Luxembourg,25-34 years,female,1
Luxembourg,15-24 years,female,0
Luxembourg,5-14 years,female,0
Luxembourg,5-14 years,male,0
Luxembourg,55-74 years,male,14
Luxembourg,35-54 years,male,25
Luxembourg,25-34 years,male,9
Luxembourg,75+ years,male,3
Luxembourg,55-74 years,female,10
Luxembourg,35-54 years,female,9
Luxembourg,75+ years,female,2
Luxembourg,15-24 years,female,2
Luxembourg,15-24 years,male,2
Luxembourg,25-34 years,female,2
Luxembourg,5-14 years,female,0
Luxembourg,5-14 years,male,0
Luxembourg,75+ years,male,5
Luxembourg,35-54 years,male,20
Luxembourg,55-74 years,male,6
Luxembourg,25-34 years,male,4
Luxembourg,55-74 years,female,3
Luxembourg,75+ years,female,1
Luxembourg,35-54 years,female,3
Luxembourg,25-34 years,female,1
Luxembourg,15-24 years,female,0
Luxembourg,5-14 years,female,0
Luxembourg,15-24 years,male,0
Luxembourg,5-14 years,male,0
Luxembourg,75+ years,male,3
Luxembourg,55-74 years,male,10
Luxembourg,35-54 years,male,16
Luxembourg,25-34 years,male,6
Luxembourg,35-54 years,female,7
Luxembourg,55-74 years,female,3
Luxembourg,75+ years,female,1
Luxembourg,15-24 years,male,1
Luxembourg,25-34 years,female,1
Luxembourg,15-24 years,female,0
Luxembourg,5-14 years,female,0
Luxembourg,5-14 years,male,0
Luxembourg,75+ years,male,7
Luxembourg,35-54 years,male,24
Luxembourg,55-74 years,male,5
Luxembourg,15-24 years,male,3
Luxembourg,25-34 years,male,3
Luxembourg,35-54 years,female,5
Luxembourg,55-74 years,female,3
Luxembourg,25-34 years,female,2
Luxembourg,75+ years,female,1
Luxembourg,5-14 years,male,1
Luxembourg,15-24 years,female,0
Luxembourg,5-14 years,female,0
Luxembourg,75+ years,male,4
Luxembourg,35-54 years,male,20
Luxembourg,75+ years,female,5
Luxembourg,55-74 years,male,7
Luxembourg,25-34 years,male,4
Luxembourg,15-24 years,female,3
Luxembourg,35-54 years,female,6
Luxembourg,15-24 years,male,2
Luxembourg,55-74 years,female,3
Luxembourg,25-34 years,female,1
Luxembourg,5-14 years,female,0
Luxembourg,5-14 years,male,0
Luxembourg,75+ years,male,7
Luxembourg,55-74 years,male,10
Luxembourg,35-54 years,male,13
Luxembourg,15-24 years,male,5
Luxembourg,25-34 years,male,4
Luxembourg,75+ years,female,2
Luxembourg,35-54 years,female,5
Luxembourg,55-74 years,female,3
Luxembourg,15-24 years,female,1
Luxembourg,25-34 years,female,1
Luxembourg,5-14 years,female,0
Luxembourg,5-14 years,male,0
Luxembourg,75+ years,male,3
Luxembourg,55-74 years,male,9
Luxembourg,55-74 years,female,8
Luxembourg,35-54 years,male,10
Luxembourg,75+ years,female,2
Luxembourg,15-24 years,male,2
Luxembourg,25-34 years,female,2
Luxembourg,35-54 years,female,4
Luxembourg,15-24 years,female,0
Luxembourg,5-14 years,female,0
Luxembourg,25-34 years,male,0
Luxembourg,5-14 years,male,0
Luxembourg,55-74 years,male,18
Luxembourg,75+ years,male,4
Luxembourg,35-54 years,male,20
Luxembourg,25-34 years,male,7
Luxembourg,75+ years,female,3
Luxembourg,55-74 years,female,5
Luxembourg,15-24 years,female,2
Luxembourg,15-24 years,male,2
Luxembourg,25-34 years,female,2
Luxembourg,35-54 years,female,3
Luxembourg,5-14 years,male,1
Luxembourg,5-14 years,female,0
Luxembourg,55-74 years,male,16
Luxembourg,75+ years,male,4
Luxembourg,35-54 years,male,17
Luxembourg,55-74 years,female,9
Luxembourg,15-24 years,male,4
Luxembourg,25-34 years,male,4
Luxembourg,75+ years,female,2
Luxembourg,35-54 years,female,6
Luxembourg,5-14 years,female,1
Luxembourg,15-24 years,female,1
Luxembourg,25-34 years,female,0
Luxembourg,5-14 years,male,0
