country,age,sex,suicides_no
Iceland,5-14 years,male,0
Iceland,75+ years,male,0
Iceland,55-74 years,male,6
Iceland,15-24 years,male,5
Iceland,35-54 years,male,8
Iceland,55-74 years,female,4
Iceland,25-34 years,female,1
Iceland,25-34 years,male,1
Iceland,35-54 years,female,1
Iceland,15-24 years,female,0
Iceland,5-14 years,female,0
Iceland,75+ years,female,0
Iceland,5-14 years,male,0
Iceland,75+ years,male,0
Iceland,75+ years,male,3
Iceland,15-24 years,male,6
Iceland,35-54 years,male,9
Iceland,25-34 years,female,4
Iceland,25-34 years,male,4
Iceland,55-74 years,male,4
Iceland,55-74 years,female,2
Iceland,35-54 years,female,2
Iceland,15-24 years,female,1
Iceland,5-14 years,female,0
Iceland,75+ years,female,0
Iceland,5-14 years,male,0
Iceland,25-34 years,male,6
Iceland,35-54 years,male,10
Iceland,55-74 years,male,5
Iceland,35-54 years,female,6
Iceland,15-24 years,male,3
Iceland,55-74 years,female,3
Iceland,15-24 years,female,0
Iceland,25-34 years,female,0
Iceland,5-14 years,female,0
Iceland,75+ years,female,0
Iceland,5-14 years,male,0
Iceland,75+ years,male,0
Iceland,15-24 years,male,6
Iceland,35-54 years,male,10
Iceland,55-74 years,male,4
Iceland,35-54 years,female,6
Iceland,55-74 years,female,3
Iceland,25-34 years,male,2
Iceland,25-34 years,female,1
Iceland,15-24 years,female,0
Iceland,5-14 years,female,0
Iceland,75+ years,female,0
Iceland,5-14 years,male,0
Iceland,75+ years,male,0
Iceland,75+ years,male,3
Iceland,15-24 years,male,7
Iceland,35-54 years,male,12
Iceland,25-34 years,male,6
Iceland,75+ years,female,1
Iceland,25-34 years,female,2
Iceland,55-74 years,female,2
Iceland,55-74 years,male,2
Iceland,15-24 years,female,1
Iceland,35-54 years,female,1
Iceland,5-14 years,female,0
Iceland,5-14 years,male,0
Iceland,55-74 years,male,7
Iceland,35-54 years,male,10
Iceland,55-74 years,female,5
Iceland,25-34 years,male,5
Iceland,15-24 years,male,4
Iceland,75+ years,male,1
Iceland,35-54 years,female,4
Iceland,25-34 years,female,2
Iceland,15-24 years,female,0
Iceland,5-14 years,female,0
Iceland,75+ years,female,0
Iceland,5-14 years,male,0
Iceland,55-74 years,male,10
Iceland,25-34 years,male,6
Iceland,35-54 years,male,10
Iceland,35-54 years,female,6
Iceland,75+ years,male,1
Iceland,15-24 years,male,2
Iceland,55-74 years,female,1
Iceland,15-24 years,female,0
Iceland,25-34 years,female,0
Iceland,5-14 years,female,0
Iceland,75+ years,female,0
Iceland,5-14 years,male,0
Iceland,75+ years,male,3
Iceland,25-34 years,male,8
Iceland,55-74 years,male,7
Iceland,35-54 years,male,11
Iceland,15-24 years,male,6
Iceland,35-54 years,female,5
Iceland,55-74 years,female,3
Iceland,5-14 years,male,1
Iceland,25-34 years,female,1
Iceland,15-24 years,female,1
Iceland,5-14 years,female,0
Iceland,75+ years,female,0
Iceland,25-34 years,male,5
Iceland,55-74 years,male,6
Iceland,35-54 years,male,8
Iceland,15-24 years,male,2
Iceland,55-74 years,female,2
Iceland,5-14 years,male,1
Iceland,25-34 years,female,1
Iceland,15-24 years,female,1
Iceland,35-54 years,female,1
Iceland,5-14 years,female,0
Iceland,75+ years,female,0
Iceland,75+ years,male,0
Iceland,25-34 years,male,7
Iceland,75+ years,male,2
Iceland,55-74 years,male,6
Iceland,35-54 years,male,8
Iceland,55-74 years,female,4
Iceland,15-24 years,male,3
Iceland,25-34 years,female,2
Iceland,15-24 years,female,2
Iceland,35-54 years,female,3
Iceland,5-14 years,female,0
Iceland,75+ years,female,0
Iceland,5-14 years,male,0
Iceland,75+ years,male,5
Iceland,25-34 years,male,7
Iceland,35-54 years,male,12
Iceland,75+ years,female,3
Iceland,15-24 years,male,5
Iceland,55-74 years,male,6
Iceland,25-34 years,female,3
Iceland,35-54 years,female,5
Iceland,55-74 years,female,3
Iceland,15-24 years,female,0
Iceland,5-14 years,female,0
Iceland,5-14 years,male,0
Iceland,75+ years,male,5
Iceland,25-34 years,male,9
Iceland,55-74 years,male,8
Iceland,15-24 years,male,4
Iceland,35-54 years,male,7
Iceland,35-54 years,female,4
Iceland,75+ years,female,1
Iceland,25-34 years,female,2
Iceland,15-24 years,female,2
Iceland,55-74 years,female,2
Iceland,5-14 years,female,0
Iceland,5-14 years,male,0
Iceland,15-24 years,male,7
Iceland,35-54 years,male,11
Iceland,25-34 years,male,6
Iceland,55-74 years,female,6
Iceland,75+ years,female,2
Iceland,55-74 years,male,5
Iceland,35-54 years,female,2
Iceland,25-34 years,female,1
Iceland,15-24 years,female,0
Iceland,5-14 years,female,0
Iceland,5-14 years,male,0
Iceland,75+ years,male,0
Iceland,25-34 years,male,8
Iceland,55-74 years,male,10
Iceland,35-54 years,male,11
Iceland,15-24 years,male,6
Iceland,75+ years,male,1
Iceland,25-34 years,female,2
Iceland,55-74 years,female,2
Iceland,15-24 years,female,0
Iceland,35-54 years,female,0
Iceland,75+ years,female,0
