country,age,sex,suicides_no
Saint Vincent and Grenadines,35-54 years,male,2
Saint Vincent and Grenadines,25-34 years,male,1
Saint Vincent and Grenadines,15-24 years,male,1
Saint Vincent and Grenadines,35-54 years,female,1
Saint Vincent and Grenadines,15-24 years,female,0
Saint Vincent and Grenadines,25-34 years,female,0
Saint Vincent and Grenadines,5-14 years,female,0
Saint Vincent and Grenadines,55-74 years,female,0
Saint Vincent and Grenadines,75+ years,female,0
Saint Vincent and Grenadines,5-14 years,male,0
Saint Vincent and Grenadines,55-74 years,male,0
Saint Vincent and Grenadines,25-34 years,male,2
Saint Vincent and Grenadines,55-74 years,male,1
Saint Vincent and Grenadines,35-54 years,male,1
Saint Vincent and Grenadines,15-24 years,female,0
Saint Vincent and Grenadines,25-34 years,female,0
Saint Vincent and Grenadines,35-54 years,female,0
Saint Vincent and Grenadines,5-14 years,female,0
Saint Vincent and Grenadines,55-74 years,female,0
Saint Vincent and Grenadines,75+ years,female,0
Saint Vincent and Grenadines,15-24 years,male,0
Saint Vincent and Grenadines,5-14 years,male,0
Saint Vincent and Grenadines,75+ years,male,0
Saint Vincent and Grenadines,55-74 years,male,1
Saint Vincent and Grenadines,35-54 years,male,2
Saint Vincent and Grenadines,25-34 years,male,1
Saint Vincent and Grenadines,15-24 years,female,0
Saint Vincent and Grenadines,25-34 years,female,0
Saint Vincent and Grenadines,35-54 years,female,0
Saint Vincent and Grenadines,5-14 years,female,0
Saint Vincent and Grenadines,55-74 years,female,0
Saint Vincent and Grenadines,75+ years,female,0
Saint Vincent and Grenadines,15-24 years,male,0
Saint Vincent and Grenadines,5-14 years,male,0
Saint Vincent and Grenadines,75+ years,male,0
Saint Vincent and Grenadines,15-24 years,male,4
Saint Vincent and Grenadines,35-54 years,male,2
Saint Vincent and Grenadines,25-34 years,male,1
Saint Vincent and Grenadines,35-54 years,female,1
Saint Vincent and Grenadines,15-24 years,female,0
Saint Vincent and Grenadines,25-34 years,female,0
Saint Vincent and Grenadines,5-14 years,female,0
Saint Vincent and Grenadines,55-74 years,female,0
Saint Vincent and Grenadines,75+ years,female,0
Saint Vincent and Grenadines,5-14 years,male,0
Saint Vincent and Grenadines,55-74 years,male,0
Saint Vincent and Grenadines,75+ years,male,0
Saint Vincent and Grenadines,75+ years,male,1
Saint Vincent and Grenadines,35-54 years,male,2
Saint Vincent and Grenadines,25-34 years,male,1
Saint Vincent and Grenadines,15-24 years,male,1
Saint Vincent and Grenadines,35-54 years,female,1
Saint Vincent and Grenadines,15-24 years,female,0
Saint Vincent and Grenadines,25-34 years,female,0
Saint Vincent and Grenadines,5-14 years,female,0
Saint Vincent and Grenadines,55-74 years,female,0
Saint Vincent and Grenadines,75+ years,female,0
Saint Vincent and Grenadines,5-14 years,male,0
Saint Vincent and Grenadines,55-74 years,male,0
Saint Vincent and Grenadines,25-34 years,male,4
Saint Vincent and Grenadines,15-24 years,male,3
Saint Vincent and Grenadines,35-54 years,male,4
Saint Vincent and Grenadines,15-24 years,female,0
Saint Vincent and Grenadines,25-34 years,female,0
Saint Vincent and Grenadines,35-54 years,female,0
Saint Vincent and Grenadines,5-14 years,female,0
Saint Vincent and Grenadines,55-74 years,female,0
Saint Vincent and Grenadines,75+ years,female,0
Saint Vincent and Grenadines,5-14 years,male,0
Saint Vincent and Grenadines,55-74 years,male,0
Saint Vincent and Grenadines,75+ years,male,0
Saint Vincent and Grenadines,55-74 years,male,1
Saint Vincent and Grenadines,35-54 years,male,2
Saint Vincent and Grenadines,35-54 years,female,1
Saint Vincent and Grenadines,15-24 years,female,0
Saint Vincent and Grenadines,25-34 years,female,0
Saint Vincent and Grenadines,5-14 years,female,0
Saint Vincent and Grenadines,55-74 years,female,0
Saint Vincent and Grenadines,75+ years,female,0
Saint Vincent and Grenadines,15-24 years,male,0
Saint Vincent and Grenadines,25-34 years,male,0
Saint Vincent and Grenadines,5-14 years,male,0
Saint Vincent and Grenadines,75+ years,male,0
Saint Vincent and Grenadines,25-34 years,male,1
Saint Vincent and Grenadines,15-24 years,female,0
Saint Vincent and Grenadines,25-34 years,female,0
Saint Vincent and Grenadines,35-54 years,female,0
Saint Vincent and Grenadines,5-14 years,female,0
Saint Vincent and Grenadines,55-74 years,female,0
Saint Vincent and Grenadines,75+ years,female,0
Saint Vincent and Grenadines,15-24 years,male,0
Saint Vincent and Grenadines,35-54 years,male,0
Saint Vincent and Grenadines,5-14 years,male,0
Saint Vincent and Grenadines,55-74 years,male,0
Saint Vincent and Grenadines,75+ years,male,0
Saint Vincent and Grenadines,25-34 years,male,4
Saint Vincent and Grenadines,5-14 years,male,1
Saint Vincent and Grenadines,15-24 years,female,0
Saint Vincent and Grenadines,25-34 years,female,0
Saint Vincent and Grenadines,35-54 years,female,0
Saint Vincent and Grenadines,5-14 years,female,0
Saint Vincent and Grenadines,55-74 years,female,0
Saint Vincent and Grenadines,75+ years,female,0
Saint Vincent and Grenadines,15-24 years,male,0
Saint Vincent and Grenadines,35-54 years,male,0
Saint Vincent and Grenadines,55-74 years,male,0
Saint Vincent and Grenadines,75+ years,male,0
Saint Vincent and Grenadines,35-54 years,male,3
Saint Vincent and Grenadines,55-74 years,female,1
Saint Vincent and Grenadines,15-24 years,male,1
Saint Vincent and Grenadines,15-24 years,female,0
Saint Vincent and Grenadines,25-34 years,female,0
Saint Vincent and Grenadines,35-54 years,female,0
Saint Vincent and Grenadines,5-14 years,female,0
Saint Vincent and Grenadines,75+ years,female,0
Saint Vincent and Grenadines,25-34 years,male,0
Saint Vincent and Grenadines,5-14 years,male,0
Saint Vincent and Grenadines,55-74 years,male,0
Saint Vincent and Grenadines,75+ years,male,0
Saint Vincent and Grenadines,25-34 years,male,2
Saint Vincent and Grenadines,15-24 years,male,2
Saint Vincent and Grenadines,55-74 years,male,1
Saint Vincent and Grenadines,35-54 years,female,2
Saint Vincent and Grenadines,35-54 years,male,2
Saint Vincent and Grenadines,15-24 years,female,1
Saint Vincent and Grenadines,25-34 years,female,0
Saint Vincent and Grenadines,5-14 years,female,0
Saint Vincent and Grenadines,55-74 years,female,0
Saint Vincent and Grenadines,75+ years,female,0
Saint Vincent and Grenadines,5-14 years,male,0
Saint Vincent and Grenadines,75+ years,male,0
Saint Vincent and Grenadines,15-24 years,female,0
Saint Vincent and Grenadines,25-34 years,female,0
Saint Vincent and Grenadines,35-54 years,female,0
Saint Vincent and Grenadines,5-14 years,female,0
Saint Vincent and Grenadines,55-74 years,female,0
Saint Vincent and Grenadines,75+ years,female,0
Saint Vincent and Grenadines,15-24 years,male,0
Saint Vincent and Grenadines,25-34 years,male,0
Saint Vincent and Grenadines,35-54 years,male,0
Saint Vincent and Grenadines,5-14 years,male,0
Saint Vincent and Grenadines,55-74 years,male,0
Saint Vincent and Grenadines,75+ years,male,0
Saint Vincent and Grenadines,75+ years,male,1
Saint Vincent and Grenadines,25-34 years,male,1
Saint Vincent and Grenadines,15-24 years,female,0
Saint Vincent and Grenadines,25-34 years,female,0
Saint Vincent and Grenadines,35-54 years,female,0
Saint Vincent and Grenadines,5-14 years,female,0
Saint Vincent and Grenadines,55-74 years,female,0
Saint Vincent and Grenadines,75+ years,female,0
Saint Vincent and Grenadines,15-24 years,male,0
Saint Vincent and Grenadines,35-54 years,male,0
Saint Vincent and Grenadines,5-14 years,male,0
Saint Vincent and Grenadines,55-74 years,male,0
Saint Vincent and Grenadines,5-14 years,female,1
Saint Vincent and Grenadines,15-24 years,male,1
Saint Vincent and Grenadines,35-54 years,male,1
Saint Vincent and Grenadines,15-24 years,female,0
Saint Vincent and Grenadines,25-34 years,female,0
Saint Vincent and Grenadines,35-54 years,female,0
Saint Vincent and Grenadines,55-74 years,female,0
Saint Vincent and Grenadines,75+ years,female,0
Saint Vincent and Grenadines,25-34 years,male,0
Saint Vincent and Grenadines,5-14 years,male,0
Saint Vincent and Grenadines,55-74 years,male,0
Saint Vincent and Grenadines,75+ years,male,0
