country,age,sex,suicides_no
Bahamas,5-14 years,male,0
Bahamas,55-74 years,male,0
Bahamas,75+ years,male,0
Bahamas,25-34 years,male,1
Bahamas,5-14 years,male,1
Bahamas,15-24 years,male,1
Bahamas,35-54 years,male,1
Bahamas,15-24 years,female,0
Bahamas,25-34 years,female,0
Bahamas,35-54 years,female,0
Bahamas,5-14 years,female,0
Bahamas,55-74 years,female,0
Bahamas,75+ years,female,0
Bahamas,55-74 years,male,0
Bahamas,75+ years,male,0
Bahamas,15-24 years,male,2
Bahamas,35-54 years,male,2
Bahamas,25-34 years,male,1
Bahamas,35-54 years,female,1
Bahamas,15-24 years,female,0
Bahamas,25-34 years,female,0
Bahamas,5-14 years,female,0
Bahamas,55-74 years,female,0
Bahamas,75+ years,female,0
Bahamas,5-14 years,male,0
Bahamas,55-74 years,male,0
Bahamas,75+ years,male,0
Bahamas,75+ years,male,1
Bahamas,15-24 years,female,2
Bahamas,35-54 years,male,3
Bahamas,55-74 years,male,1
Bahamas,55-74 years,female,1
Bahamas,15-24 years,male,1
Bahamas,35-54 years,female,1
Bahamas,25-34 years,female,0
Bahamas,5-14 years,female,0
Bahamas,75+ years,female,0
Bahamas,25-34 years,male,0
Bahamas,5-14 years,male,0
Bahamas,55-74 years,male,1
Bahamas,25-34 years,female,1
Bahamas,15-24 years,male,1
Bahamas,35-54 years,male,1
Bahamas,15-24 years,female,0
Bahamas,35-54 years,female,0
Bahamas,5-14 years,female,0
Bahamas,55-74 years,female,0
Bahamas,75+ years,female,0
Bahamas,25-34 years,male,0
Bahamas,5-14 years,male,0
Bahamas,75+ years,male,0
Bahamas,15-24 years,male,2
Bahamas,35-54 years,male,2
Bahamas,35-54 years,female,1
Bahamas,15-24 years,female,0
Bahamas,25-34 years,female,0
Bahamas,5-14 years,female,0
Bahamas,55-74 years,female,0
Bahamas,75+ years,female,0
Bahamas,25-34 years,male,0
Bahamas,5-14 years,male,0
Bahamas,55-74 years,male,0
Bahamas,75+ years,male,0
Bahamas,55-74 years,male,2
Bahamas,35-54 years,male,2
Bahamas,35-54 years,female,1
Bahamas,15-24 years,female,0
Bahamas,25-34 years,female,0
Bahamas,5-14 years,female,0
Bahamas,55-74 years,female,0
Bahamas,75+ years,female,0
Bahamas,15-24 years,male,0
Bahamas,25-34 years,male,0
Bahamas,5-14 years,male,0
Bahamas,75+ years,male,0
