country,age,sex,suicides_no
Grenada,55-74 years,male,0
Grenada,75+ years,male,0
Grenada,15-24 years,female,0
Grenada,25-34 years,female,0
Grenada,35-54 years,female,0
Grenada,5-14 years,female,0
Grenada,55-74 years,female,0
Grenada,75+ years,female,0
Grenada,15-24 years,male,0
Grenada,25-34 years,male,0
Grenada,35-54 years,male,0
Grenada,5-14 years,male,0
Grenada,55-74 years,male,0
Grenada,75+ years,male,0
Grenada,15-24 years,female,0
Grenada,25-34 years,female,0
Grenada,35-54 years,female,0
Grenada,5-14 years,female,0
Grenada,55-74 years,female,0
Grenada,75+ years,female,0
Grenada,15-24 years,male,0
Grenada,25-34 years,male,0
Grenada,35-54 years,male,0
Grenada,5-14 years,male,0
Grenada,55-74 years,male,0
Grenada,75+ years,male,0
Grenada,55-74 years,male,1
Grenada,15-24 years,female,0
Grenada,25-34 years,female,0
Grenada,35-54 years,female,0
Grenada,5-14 years,female,0
Grenada,55-74 years,female,0
Grenada,75+ years,female,0
Grenada,15-24 years,male,0
Grenada,25-34 years,male,0
Grenada,35-54 years,male,0
Grenada,5-14 years,male,0
Grenada,75+ years,male,0
Grenada,35-54 years,male,1
Grenada,15-24 years,male,1
Grenada,15-24 years,female,0
Grenada,25-34 years,female,0
Grenada,35-54 years,female,0
Grenada,5-14 years,female,0
Grenada,55-74 years,female,0
Grenada,75+ years,female,0
Grenada,25-34 years,male,0
Grenada,5-14 years,male,0
Grenada,55-74 years,male,0
Grenada,75+ years,male,0
Grenada,15-24 years,female,0
Grenada,25-34 years,female,0
Grenada,35-54 years,female,0
Grenada,5-14 years,female,0
Grenada,55-74 years,female,0
Grenada,75+ years,female,0
Grenada,15-24 years,male,0
Grenada,25-34 years,male,0
Grenada,35-54 years,male,0
Grenada,5-14 years,male,0
Grenada,55-74 years,male,0
Grenada,75+ years,male,0
Grenada,15-24 years,female,0
Grenada,25-34 years,female,0
Grenada,35-54 years,female,0
Grenada,5-14 years,female,0
Grenada,55-74 years,female,0
Grenada,75+ years,female,0
Grenada,15-24 years,male,0
Grenada,25-34 years,male,0
Grenada,35-54 years,male,0
Grenada,5-14 years,male,0
Grenada,55-74 years,male,0
Grenada,75+ years,male,0
Grenada,15-24 years,female,0
Grenada,25-34 years,female,0
Grenada,35-54 years,female,0
Grenada,5-14 years,female,0
Grenada,55-74 years,female,0
Grenada,75+ years,female,0
Grenada,15-24 years,male,0
Grenada,25-34 years,male,0
Grenada,35-54 years,male,0
Grenada,5-14 years,male,0
Grenada,55-74 years,male,0
Grenada,75+ years,male,0
Grenada,15-24 years,female,0
Grenada,25-34 years,female,0
Grenada,35-54 years,female,0
Grenada,55-74 years,female,0
Grenada,75+ years,female,0
Grenada,15-24 years,male,0
Grenada,25-34 years,male,0
Grenada,35-54 years,male,0
Grenada,55-74 years,male,0
Grenada,75+ years,male,0
